musica|artista|compositor|letra
De Todas As Formas|Agepê| Canário - Zé Catimba - Agepê| Me dê a posse do teu corpo Descobre o rosto Tira o véu Pra dar mais vida a minha vida Me dê sua boca com gosto de mel Eu te amarei de todas as formas E amar assim meu bem É um mar de rosas (2x) É te ver tão dengosa me dando carinho Ó doce musa felina da minha paixão É paixão É paixão, uma força estranha me faz delirar O desejo me chama querendo te amar És a dona sozinha do meu coração Thaís  H. F.  Santos
Meu Ébano|Alcione| NenÉo - Paulinho Rezende| É, voce é um negão de tirar o chapéu Não posso dar mole se não você... créu Me ganha na manha e babau Leva meu coração É, você é um ébano, lábios de mel Um príncipe negro, feito a pincel É só melanina cheirando a paixão É, será que eu caí na sua rede, e ainda não sei Sei não, mas tô achando que já dancei Na tentação da sua cor Pois é, me pego toda hora querendo te ver Olhando pras estrelas pensando em você Negão, eu tô com medo que isso seja amor Moleque levado, sabor de pecado, menino danado Fiquei balançada, confesso, quase perco a fala Com o seu jeito de me cortejar Que nem mestre - sala Meu preto retinto, malandro distinto Será que é instinto Mas quando te vejo enfeito meu beijo, retoco o batom A sensualidade da raça é um dom É você, meu ébano, é tudo de bom!
Ai Coração ...|Alexandre Pires| Marcela Cárdenas / Juan Vicente Zambrano / vs. Carlos Colla| Sem querer minha emoção, te procura, não fica em paz, Certas horas, certos dias eu me sinto assim, É que a luz do seu olhar, Já não brilha mais em mim, Nessa falta de sentido que me mata, E procuro na lembrança uma gota de esperança, Um motivo que me faça entender essa distância, Ai coração, faz o que deve, Ai coração, como se atreve, Voce resistir a tanto tempo, E não deleta do meu pensamento, Ai coração, faz o que deve, Ai coração, pega mais leve, Ai coração (ai coração), ai coração, devolve a minha vida. É difícil aceitar essa falta de voce, Não tem jeito, nem maneira, não te esqueço, E na música que toca eu te sinto em cada nota, Fecho os olhos e te vejo e sinto o gôsto do seu beijo, Ai coração, faz o que deve, Ai coração, como se atreve, Voce resistir a tanto tempo, E não deleta do meu pensamento, Ai coração, faz o que deve, Ai coração, pega mais leve, Ai coração (ai coração), ai coração, devolve a minha vida, Devolve a minha vida, coração, devolve a minha vida.( Voce é muiiiiiiiiito especial para mim ...)
Conselho de Luz|Bezerra da Silva|no compositor found| I R M Ã O,  T E N H A  F É E S C U T E  U M  C O N S E L H O  D E  P A Z  E  D E  L U Z A B R A  O  T E U  C O R A Ç Ã O L E V A N T E  A  C A B E Ç A  E  A C E I T E  J E S U S E L E  É  O  C A M I N H O  D A  G L Ó R I A E S S A  É  A  P U R A  V E R D A D E D Ê  A  V I D A  E M  S U A S  M Ã O S D E R R U B A  O  M U N D O  D E  F E L I C I D A D E V E N H A,  N Ã O  P E R C A  M A I S  T E M P O C R I S T O  E S T Á  T E  E S P E R A N D O M E U  I R M Ã O,  N Ã O  T E N H A  D Ú V I D A É  O  F I L H O  D E  D E U S  Q U E  E S T Á  T E  C H A M A N D O R E F R Ã O E L E  M O R R E U  P E L A  H U M A N I D A D E R E S S U S C I T O U  N O  T E R C E I R O  D I A H O J E  E S T Á  L Á  N O  C É U N O S  A B E N Ç O A N D O  C O M  M U I T A  A L E G R I A E S T O U  L H E  D A N D O  U M  C O N S E L H O A M I G O  D E  F É,  M E U  I R M Ã O  C A M A R A D A H O J E  V O C Ê  T E M  F A M A,  M U L H E R  E  D I N H E I R O M A S  N Ã O  T E N D O  J E S U S  I S S O  N Ã O  V A L E  N A D A
Leve Tudo Com Você|Alexandre Pires|no compositor found| Como pude mentir O meu bem eu trai e fiquei com você Era só pra curtir Tive raiva de mim mais não deu pra fugir Depois do prazer De repente eu vi que já era bem mais que uma transa Bem mais que tesão Eu corria de um lado pro outro Pedia socorro, pedia perdão Te deixar quem me disse quem dera Pintava uma tela de louca paixão Refrão Pegue a estrada vai embora Eu não quero mais te ver Vista a roupa de o fora e leve tudo com você Não me fale dos seus planos Eu não quero nem saber Vista a roupa, de o fora e leve tudo com você Como pude mentir O meu bem eu trai e fiquei com você Era só pra curtir Tive raiva de mim, mais não deu pra fugir Depois do prazer Quanto mais eu tentava esquecer Só fazia sofrer, aumentava o caos Eu bebia, eu fumava, eu gritava, eu xingava Eu sabia não tava legal Todo mundo em volta já ria Mais não entendia Cai na armadilha do bem e do mal Refrão Pegue a estrada vai embora Eu não quero mais te ver Vista a roupa de o fora e leve tudo com você Não me fale dos seus planos Eu não quero nem saber Vista a roupa, de o fora e leve tudo com você
O Pior é Saber|Beth Carvalho|no compositor found| Eu não esperava você agora Só muito mais tarde Ou nuca mais Não me venha dizer O que aconteceu lá fora Sua ingratidão Torturou por demais Meu peito O pior é saber Que você Ainda em mim tem direito Direito em mim que eu estou Falando é diferente Darei a casa e comida Serei prestativa Se estiver doente Mas meu calor Jamais lhe aquecerá Quem passou o que eu passei Não sabe mais perdoar Não sabe mais perdoar( Eu não)
Bar da Noite|Alcione| Bidu Reis E Haroldo Barbosa| Garçon Apague esta luz Que eu quero ficar sozinha Garçon me deixe comigo Que a mágoa que eu tenho é minha Quantos estão pelas mesas Bebendo tristezas querendo ocultar O que se afoga no copo Renasce na alma desponta no olhar Garçon se o telefone bater e se for pra mim Garçon repita pra ele que eu sou mais feliz assim Você sabe bem que é mentira Mentira noturna de bar Bar tristonho sindicato De sócios na mesma dor Bar que é um refugio barato Dos fracassados no amor
Pra Que Mentir|Aracy de Almeida| Noel Rosa E Vadico| Pra que mentir se tu ainda não tens Esse dom de saber iludir? Pra quê?!  Pra que mentir Se não há necessidade de me trair? Pra que mentir, se tu ainda não tens A malícia de toda mulher? Pra que mentirse eu sei que gostas de outro Que te diz que não te quer? Pra que mentir Tanto assim Se tu sabes que eu já sei Que tu não gostas de mim?! Se tu sabes que eu te quero Apesar de ser traído Pelo teu ódio sincero Ou por teu amor fingido?!
Bom Jesus Dos Navegantes|Alcione|no compositor found| Meu bom jesus dos navegantes Protetor e padroeiro Na festa da boa viagem Dia primeiro de janeiro Oh, como é linda No mar sua procissâo O encontro na beira do cais Com a virgem da conceição,obá Obá, obá, obá oxalufo eu sou obá Obá, obá, obá oxalufo vai me salvar
Miau, Miau|Aracy de Almeida| Haroldo Lobo E Milton De Oliveira|" O gato e a gatinha Sempre vão pro meu quintal Fazer miau, miau, miau. E levam a noite toda Nesse choro infernal: Miau, miau, miau! O gato até parece Que conhece a nossa gíria: Começa logo com lero-lero, Oferece vestidos de seda à gatinha. E ela, zangada, responde:"" Eu rasgo, não quero!"""
Ela Sempre Ela|Ataulfo Alves| Ataulfo Alves - Cesar Cruz| Ela sempre ela De quem eu gostava Mas por qualquer coisa Sempre me humilhava Eu por causa dela Quase fiquei louco E ela ainda acha Que é muito pouco Tão sinceramente Quis ve-la feliz Mas infelizmente Ela não me quis Desde ai então Quase fiquei louco E ela ainda acha Que é muito pouco .
Fuera Ropa|Alexandre Pires|no compositor found| Primero das el placer y después el dolor. Y luego tu blanca tu sonrisa, me pide perdón. Yo no consigo entender, esta loca pasión, Soy un esclavo de tí, y de tu seducción. Quisiera poder decir no y no quererte más. Cumplir cada vez que te juro, te voy a dejar... Y entonces tú vuelves cariño, Me ganas con artes de niño, Y me vences, me convences y más... Fuera ropa, noche loca. La vida contigo parece q nunca pasó Tú y yo Fuera ropa, noche loca Quien ama saber perdonar todo en el corazón. Yo no consigo entender esta loca pasión Soy un esclavo de tí y de tu seducción. Quisiera poder decir no y no quererte más Cumplir cada vez que te juro, te voy a dejar... Y entonces tú vuelves cariño, Me ganas con artes de niño, Y me vences, me convences y más.... Fuera ropa, noche loca. La vida contigo parece q nunca pasó Tú y yo Fuera ropa, noche loca Quien ama saber perdonar todo en el corazón. Fuera ropa, noche loca. La vida contigo parece q nunca pasó Tú y yo Fuera ropa, noche loca Quien ama saber perdonar todo en el corazón.
Chora Chora|Art Popular|no compositor found| G  D7  Em Agora chora no meu peito, e chora Am7+  Am E diz porque você foi embora D7 Bate no seu peito e diz Que eu tô por fora G Lá fora é que é uma glória D7  Em Agora chora no meu peito e chora Am7+  Am Diz que tá agoniada D7 Que no lamento do pandeiro G Me apaixonei, sou rei das madrugadas Bb7+  E7  Am Eu sei que eu vou dar a volta por cima meu bem D7  G Que a alma de quem canta samba, não é de ninguém Bb7+  E7  Am Eu sei, eu sei, que vou te provar D7  G Só caso se for por amor, rezo pra perdoar D7  Em  E7  Am Chora, chora, chora, chora D7 Ex-amor chegou ao fim G A nossa história D7  Em  E7  Am Chora, chora, chora, chora D7  G
Um Feliz Natal (Feliz Navidad) (Com Koringa)|Bom Gosto|no compositor found| Um feliz  Natal, um feliz  Natal E que  Deus lhe guarde próspero ano e felicidade Um feliz  Natal, um feliz  Natal E que  Deus lhe guarde próspero ano e felicidade Por um  Natal luz de um tempo novo Por um  Natal justo e amoroso Por um  Natal lindo pro meu povo É o que quer meu coração Um feliz  Natal, um feliz  Natal E que  Deus lhe guarde próspero ano e felicidade Um feliz  Natal, um feliz  Natal E que  Deus lhe guarde próspero ano e felicidade Por um  Natal luz de um tempo novo Por um  Natal justo e amoroso Por um  Natal lindo pro meu povo É o que quer meu coração( Votos de natal) Um feliz  Natal, um feliz  Natal E que  Deus lhe guarde próspero ano e felicidade Um feliz  Natal, um feliz  Natal E que  Deus lhe guarde próspero ano e felicidade
O Maior Castigo Que Eu Te Dou|Aracy de Almeida| Noel Rosa| O maior castigo que eu te dou É não te bater Pois sei que gostas de apanhar Não há ninguém mais calma do que eu sou Nem há maior prazer Do que te ver me provocar(bis) Não dar importância À tua implicância Muito pouco me custou Eu vou contar em versos Os teus instintos perversos É este mais um castigo que eu te dou[ I N T E R V A L O  I N S T R U M E N T A L] A porta sem tranca Diz a carta branca Para ir onde eu não vou Eu juro que desejo Fugir do teu falso beijo É este mais um castigo que eu te dou[ R E P E T E 1ª  E S T R O F E](bis)
Dessa Vez|Alexandre Pires|no compositor found| De repente, eu vi os olhos que eu nao tinhade repente, voce chega toda minhaeu confesso nao sabia o que sentiaafinal de contas, nunca aconteciaqualquer coisa a mais que uma azaração, curtição De repente, o seu beijo foi me dando o sabor que eu nao tava esperandofoi um xeque-mate, um beco sem saidafoi somando, transformando a minha vida Harmonia, melodia à cançãodessa vez, meu coracao vai se entregardessa vez, vou colocar meus pés no chaodessa vez, no seu caminho eu vou andardessa vez, dessa vez!dessa vez, o seu amor vai me guiardessa vez, no seu sorriso eu vou buscar a alegria de viver, te amar
Aqueles Morros|Bezerra da Silva| Pedro Botina - Bezerra Da Silva| Antes, aqueles morros não tinham nomesfoi prá lá o elemento homemfazendo barraco, batuque e festinha Nasceu  Mangueira,  Salgueiro,  São  Carlos e  Cachoeirinha -  Bis Andaraí,  Caixa d´água,  Congonha,  Alemão e borelo  Morro do  Macaco em  Vila  Isabel, Matriz, tuiti e o  Cruzeiro,  Querosene e  Urúbu Jacarezinho,  Turano,  Sossego e o  Morro  Azul -  Bis É... mas no mesmo embalo, nasceu  Cantagalo,  Pavão,  Pavãozinho O morro da  Guarda em  Macedo  Sobrinho, Tabajaras,  Providencia,  Santa  Marta e  Serrrinha Morro do  Pinto,  Sampaio,  Dênde e a querida  Rocinha -  Bissimbora gente E ainda tem o  Morro do  Cacto, um buraco de boi, comotem boa gente Atalaia,  Marquem,  Morro do  Oriente, Holofote,  Papagaio, todos do outro lado Areia  Grossa,  Cavalão,  São  Lourenço e o  Morro do  Estado -  Bis É..veja bem que nasceu também, Sacopã,  Catacumba e o  Vidigal Morro da  Favela por trás da central Eu sou muito bem chegado neles não posso negar Gosto de todos mas o  Cantagalo que é meu lugar -  Bis
Engomadinho|Aracy de Almeida| Pedro Caetano / Cloudionor Cruz| De terno branco, todo engomadinho, Todo faceiro, carregando o pinho, Já vem chegando meu feliz cantor, Salve o seresteiro, salve a meu amor. A noite é minha, O seu semblante alegre está dizendo, Que está cheinho de disposição, Para acabar com a dor que estou sofrendo, Clareando a noite do meu coração. Eu tinha visto um manto muito escuro, Cobrir a ilusão da minha vida, Mas como a dor sempre descobre um furo, Meu desengano encontrou saída. A chave que abriu a liberdade, Para o meu coração cheio de dor, Está na voz e na simplicidade, Deste seresteiro, que é o meu amor.
Olhar Bandido|Beth Carvalho| Claudio Cartier / Paulinho Tapajós| Foi só você olhar Apenas uma vez E eu pude comprender Que é facil ser feliz Seus olhos abriram meus sentidos Mostraram-me o prazer Que eu  Não podia ver E o mundo então se fez Melhor do que eu quis Chegou a minha vezè facil ser feliz O seu olhar me faz Perder toda a razão O seu olhar bandido Me enxerga na escuridão O seu olhar me traz Os sonhos mais reais O seu olhar bandido Assaltando o meu coração Roubando a minha paz Me faz ser muito mais
Aqui Pra Você|Bom Gosto| André Renato/ Felipe Silva| Eu parei pra repensar Tentando avaliar o tempo que perdi Fugi da voz da razão E agora admiti Tanto tempo sem saber Vivendo pra você Te amando pra valer Sempre pronto pra se dar Querendo receber Fiz de tudo e você Fez descaso total Apostei neste amor Dessa vez me dei mal Muita cara de pau Me pedir pra ficar Você não tem moral Aqui pra você, aqui pra você, aqui pra vocêtá na cara que a gente Não tem nada a ver Aqui pra você, aqui pra você, aqui pra você Vai brincar com quem queira Brincar de sofrer...
