musica|artista|compositor|letra
Errado Fui Eu|Agepê| Beto Corrêa / Agepê| Essa saudade que dói no meu peito Me tira o sossego E o direito de viver, De sorrir, de sonhar, de amar, de cantar Sei que o errado fui eu[ Ô fui eu] Nas horas que mais precisavas de mim Agora sei o quanto me amavas Te julgava errada quando brigavas por mim[ Vamo gente] Sei que o errado fui eu[ Ô fui eu] Nas horas que mais precisavas de mim Agora sei o quanto me amavas Te julgava errada quando brigavas por mim Andava solto pelas madrugadas Muitas cervas geladas Muitos pagodes curti Pensava que estava numa boa Agora você foi embora A saudade me devora, devora La, lalaiá, lalaiáô laiálaiá, lalaiá, lalaiá Pensava que estava numa boa Agora você foi embora A saudade me devora, devora... Essa saudade que dói no meu peito Me tira o sossego E o direito de viver, De sorrir, de sonhar, de amar, de cantar Sei que o errado fui eu[ Ô fui eu] Nas horas que mais precisavas de mim Agora sei o quanto me amavas Te julgava errada quando brigavas por mim[ Só por mim] Sei que o errado fui eu[ Ô fui eu] Nas horas que mais precisavas de mim Agora sei o quanto me amavas Te julgava errada quando brigavas por mim Andava solto pelas madrugadas Muitas cervas geladas Muitos pagodes curti Pensava que estava numa boa Agora você foi embora A saudade me devora, devora La, lalaiá, lalaiáô laiálaiá, lalaiá, lalaiá Pensava que estava numa boa Agora você foi embora A saudade me devora, devora...
Falsa Consideração|Alcione|no compositor found| Agora eu sei Que o amorque você prometeu Não foi igual Ao que você me deu Era mentira o que você jurou Mas não faz mal Eu aprendi Que não se deve crêr Em tudo aquilo Que alguém nos diz Num momento de prazer ou de amor Mas tudo bem Eu sei que um dia vai e outro vem Você ainda ha de encontrar alguém Pra lhe fazer O que você me fez Aí na hora do sufoco Sei que você vai me procurar Com a mesma conversa Que um dia me fez apaixonar Por alguém de uma falsa consideração Aí você vai perceber que eu estou Numa boa E que durante algum tempo Eu fiquei sem ninguém Mas ha males na vida Que vêm para o bem
Um Beijo|Arlindo Cruz| Arlindo Cruz (ano De 1993)| T O D O  B E M  Q U E  T E R M I N A F A Z  A  G E N T E  T Ã O  I N F E L I Z O N D E  S E M P R E  F O I  F E S T A D A  T R I S T E Z A  C R E S C I  A  R A I Z Q U E  A L I M E N T A  U M  P R A N T O D E S E N C A N T O  D A  F E L I C I D A D E E  P A R E C E  M A U D A D E A  V E R D A D E  Q U E  F A Z  S O F R E R E  O  P E I T O  P A D E C I P R O C U R A N D O  N Ã O  E N L O U Q U E C E R P R A  Q U E  U M  D I A Q U E M  S A B E  U M  B E M S E J A  U M  B E M  Q U E R E R V O C Ê P R A  S E R  M I N H A  P A I X Ã O E  S E R  L U Z  D A  M I N H A  I N S P I R A Ç Ã O É  T A N T A  V O L T A D E  D E  T E  V E R D E S E J O D E S E J O  P O R  Q U E R E R U M  B E I J O M E  B E I J A  P R A  V A L E R P R A  Q U E  U M  D I A Q U E M  S A B E  U M  B E M S E J A  U M  B E M  Q U E R E R M E U  B E M  Q U E R E R U M  B E I J O M E  A M A  P R A  V A L E R P R A  Q U E  U M  D I A Q U E M  S A B E  U M  B E M S E J A  U M  B E M  Q U E R E R
Manto Santo - Salmo 91|Art Popular| Leandro Lehart|" Ó de lá cadê você Eu vim aqui para sobreviver ó de lá Preste atenção Faz isso não Cuidado que a vida não é brincadeira Vê se se toca Calma o mundo espera lá fora Calma manda a tristeza embora Tá tão difícil viver Guenta a mão E segura essa força Tá tão difícil viver Guenta a mão E segura essa força Tem que ter muita alma pra sobreviver Tem que ter o carinho do amanhecer Tem que ter mais coragem pra dizer que sim E jogar essa farsa fora de você Ó de lá Guenta mão E segura essa forca Não deixa a chuva chorar Deixa que o vento sorrir Um manto santo de paz vai te cobrir"" Aquele que habita no esconderijo do  Altíssimo, à sombra do  Onipotente descansará Direi do  Senhor:  Ele é o meu  Deus, o meu refúgio, a minha fortaleza, e nele confiarei Porque aos seus anjos dará ordem a teu respeito, para te guardarem em todos os teus caminhos"" De proteção Vai te cobrir"
Meu Drama|Ataulfo Alves| Ataulfo Alves - Wilson Batista| Meu drama Vejam só o que eu fui arranjar Já não sou mais o dono da minha vida Ela é, quem me faz soluçar E sem ela já sei, que não posso ficar Vejam só o que eu fui arranjar Já não sou mais o dono da minha vida Sem ela minha vida se resume Martirio sofrimento e nada mais Sem ela vivo louco de ciúme E com ela , eu não vivo em paz.
Recusa|Alcione| Paulo Debétio/paulinho Rezende| Você me procura na hora do almoço Me agarra, me cheira, me deixa à vontade Me traga, me afaga, me aperta o pescoço Depois me abandona na dona saudade Me irrita, me agita, me diz pra esperar Que a hora do lanche não tarda a chegar Eu me desespero por esta recusa Me sinto uma intrusa, mas fico a esperar Quando o telefone me chama, eu atendo É você dizendo que não vem lanchar Que tem compromisso com isso e aquilo Me pede tranqüilo pra eu meguardar pro jantar Aí, é hora de sofrer Lutar pra não morrer De morte tão vulgar Amor, cuidado com o desdém Pois quem tem um não tem Nenhum pra consolar Na hora da jantavocê vem caladome dá o desprezo Diz que esta cansado Se farta na mesa Depois vai deitarnem vê a tristeza que escondo no olhar Se vira pro lado e começa a roncarlá vou eu de novo no pranto afogare ai e hora de sofrer Cuidar pra não morrer de morte tão vulgar Amor cuidadocom o desdem Pois quem tem um não temnenhum pra consolar
Eu Não Agüento Mais|Benito Di Paula|no compositor found| Eu não agüento mais, eu não agüento mais Eu não quero falar nada, mas eu não agüento mais Eu não agüento mais Eu não agüento mais, eu não agüento mais Eu não quero falar nada, mas eu não agüento mais Eu faço a poesia, faço o verso e tudo mais Eu viajo oito horas, pro trabalho e ninguém mais Quer saber do meu salário?  Nunca dá pra nada mais! Eu já tô de saco cheio, eu já não agüento mais Eu não agüento mais Eu não agüento mais, eu não agüento mais Eu não quero falar nada, mas eu não agüento mais Eu não agüento mais Eu não agüento mais, eu não agüento mais Eu não quero falar nada, mas eu não agüento mais Ainda bem que o botequim pendura a conta e muito mais Tô esperando a anistia pro meu porre, e tudo o mais Mas um dia essa ressaca vai pro mal que alguém lhe faz Juro pela minha crença, pros meus santos, pros meus “ais” Eu não agüento mais Eu não agüento mais, eu não agüento mais Eu não quero falar nada, mas eu não agüento mais Eu não agüento mais Eu não agüento mais, eu não agüento mais Eu não quero falar nada, mas eu não agüento mais Ainda bem que o botequim pendura a conta e muito mais Tô esperando a anistia pro meu porre, e tudo o mais Mas um dia essa ressaca vai pro mal que alguém lhe faz Juro pela minha crença, pros meus santos, pros meus “ais” Eu não agüento mais Eu não agüento mais, eu não agüento mais Eu não quero falar nada, mas eu não agüento mais Eu não agüento mais Eu não agüento mais, eu não agüento mais Eu não quero falar nada, mas eu não agüento mais
O Rei do Coco|Bezerra da Silva|no compositor found| Balança o ganzá Segura o repente Cuidado cantor Não é banca nem vaidade É pura realidade O  Rei do  Coco chegou! Mas chegou sim! Não tenho culpa, mas coco se canta assim! Se você achar ruim o problema não é meu E veja bem meu bom cantor Se você não tem valor O culpado não sou eu E vá balançando o ganzá Vá segurando o ganzá Cuidado cantor Não é banca nem vaidade É pura realidade O  Rei do  Coco chegou! Mas chegou sim! A natureza deu a mim este presente Está no meu sangue, no meu eu No meu coração na minha mente É coco na perfeição Não é brincadeira não Não teime, saia da frente Vá balançando o ganzá Vá segurando o repente Cuidado cantor Não é banca, nem vaidade É pura realidade O  Rei do  Coco chegou! Mas chegou sim!
Passe Bem|Almir Guineto|no compositor found| Passe bem Se é por falta de adeus então Com prazer vou lhe estender a mão Pra dizer adeus e nada mais Passem bem Não esqueça de levar porem Eu presumo que por lá também Você pode precisar de mais Passe bem Bem depressa se me encontrar Não me olhe ou tente me falar Que eu não vou lhe responder jamais Passem bem Bem distante do meu coração Vou viver com minha solidão Que carece de sofrer em paz
As Rosas Não Falam|Alcione| Cartola| Bate outra vez Com esperanças o meu coração Pois já vai terminando o verão enfim Volto ao jardim Na certeza que devo chorar Pois bem sei que não queres voltar para mim Queixo-me às rosas, mas que bobagem As rosas não falam Simplesmente as rosas exalam O perfume que roubam de ti Devias vir Para ver os meus olhos tristonhos E, quem sabe, sonhava meus sonhos Por fim.
Coisas do Mar|Agepê| Mauro Diniz / Ratinho| É camarão Peixe vivo vem do mar É camará Pega a rede, vai pescar (camarão) Barco a vela leva o vento Pras correntezas do mar Noite fria de tormento Reza prece à  Iemanjá Nuvem escura forma um véu Escondendo o luar Mas existe alguém no céu Que também pode ajudar Vai pescador Leva teu barco pro mar É camarão Peixe vivo vem do mar É camará Pega a rede, vai pescar Horizonte sol chegando As gaivotas sobre o mar Lindo dia anunciando Pescador já vai voltar Peixe bom quem vai querer Vem correndo pra comprar Não demora pra vender Meio cesto vende já A maré não estava boa Amanhã vai melhorar
Somos Iguais|Alcione| Evaldo Gouveia / Jair Amorim| Acabei de saber Que você riu de mim E depois perguntou Se eu vivi, se eu morri Já que tudo acabou Eu sei lá se você Quis de fato saber Pelo sim, pelo não Abro o meu coração É melhor lhe dizer Eu sou o mesmo que você deixou Eu vivo aqui onde você viveu Existe em mim o mesmo amor Aquele amor que nunca mais foi meu Por que viver a me humilhar assim? Por que matar esta ilusão em mim? Você e eu somos iguais Não mudamos jamais.
Pelô Céu, Pelô Chão, Pelourinho|Arlindo Cruz| Arlindo Cruz - Sombrinha - Acyr Marques| Quer sambar a noite inteira Vem sambar no  Pelourinho Samba não é brincadeira Pra sambar no  Pelourinho Se você vem da  Ribeira Pra sambar no  Pelourinho Escorrega na ladeira Cai não cai no  Pelourinho Rola samba de primeira Samba bom é no  Pelô Não é de marcar bobeira Quem faz samba no  Pelô Partideiro abre a roda, iaiá, ioiô Quando o samba é no  Pelô (quando o samba é no  Pelô) Partideiro entra na roda, iaiá, ioiô Quando o samba é no  Pelô O  Pelô é o que a gente quer Homem, mulher, sem distinção Samba no pé e na palma da mão Trazendo axé pelo céu, pelo chão O  Pelô é a força da fé Mostra o que é, religião É uma reza, é uma prece e é uma oração Feita com devoção E depois escolher samba sim, samba não Viva a primeira opção Todo mundo que vem pra rezar Se abençoar e até saravá sua banda Sabe que pelouriar é cair no samba
Maca do Amor|Belo|no compositor found| O seu nome eu anotei na minha agendaporque foi inesquecivel nosso amor (o nosso amor)o teu corpo tatuado em mimtua boca me beijando assime eu sentindo o gosto de maçã do amor Ah como eu queria te encontarpra confessar todo meu querer,te dar de vez o meu coraçãosinto tanta tua falta,voltata dificil sem você Ah eu não consigo te esperarmorro de medo de te perder,dá calafrio só de pensar Muito mais que a eternidade,universo de saudade,um minuto sem você
Deixa Eu Te Amar|Bruninho (Uma Nova História)|no compositor found| Vi você chorando e imaginei Suas lágrimas diziam Que eram culpa do teu ex Eu te disse que ele não Merecia o teu amor Mas você nunca me ouviu E sempre me ignorou Contra fatos não há argumentos Você remou contra a maré O que eu sinto é tão bonito Vai além do infinito Minha proposta está de pé Deixa eu te amar Eu posso te fazer feliz Deixa eu te amar O não já tenho eu quero o sim Não deixe nada pra depois Dê uma chance a nós dois Deixa eu te amar O que sofreu eu vou curar Deixa eu te amar É tempo de recomeçar Não tenha medo eu quero escrever Uma nova história com você
Vou Contar Até Três|Bezerra da Silva|no compositor found| V O U  C O N T A R  A T É  T R Ê S -  B E Z E R R A  D A  S I L V A Vai saindo de pinote malandragem Senão já viu... que o fogo vai comer[ R E F R Ã O] Você diz que faz e acontece Agora que eu quero ver Você diz que faz e acontece Agora que eu quero ver É que eu vou contar até três O mais devagar vai desaparecer Eu vou contar até três O mais devagar vai desaparecer Cheio de conversa fiada Que lá na sua bocada não tem pra ninguém É que eu recebi um alo federal De quem te conhece muito bem Dizendo que você entrega de bandeja Por qualquer nota de cem Dizendo que você entrega de bandeja Por qualquer nota de cem[ R E F R Ã O] Mas aqui na minha área Você não vai ser feliz Eu respeito até uma criança Porque sei muito bem onde tem o nariz Se não sair batido rapidinho Vais comer capim pela raiz Se não sair batido rapidinho Vais comer capim pela raiz
Por Amor|Belo|no compositor found| Belo eu acordei pensando em te ligar Precisava conversar, só confio em você e mais ninguém Eu já te contei daquele amor que eu guardo aqui E o quanto eu sofri acabei fugindo pro meu próprio bem Só que ela veio atrás de mim Chegou falando assim que iria me reconquistar Eu preciso ouvir de um amigo se eu corro o perigo ao me entregar Posso ser sincero amigo vai na fé Você sempre me falou dessa mulher Se quer a minha opinião vai pelo seu coração Essa situação não dava pra prever Largar um casamento é serio pra valer Mais vale tudo por amor Diguinho esse é o conselho que eu te dou. Eu já te contei daquele amor que eu guardo aqui E o quanto eu sofri acabei fugindo pro meu próprio bem Só que ela veio atrás de mim Chegou falando assim que iria me reconquistar Eu preciso ouvir de um amigo se eu corro o perigo ao me entregar Posso ser sincero amigo vai na fé Você sempre me falou dessa mulher Se quer a minha opinião vai pelo seu coração Essa situação não dava pra prever Largar um casamento é serio pra valer Mais vale tudo por amor Diguinho esse é o conselho que Posso ser sincero amigo vai na fé Você sempre me falou dessa mulher Se quer a minha opinião vai pelo seu coração Essa situação não dava pra prever Largar um casamento é serio pra valer Mais vale tudo por amor Diguinho esse é o conselho que eu te dou.
Bate Forte|Biro do Cavaco|no compositor found| B A T E  F O R T E Bate forte em meu peito uma imensa saudade É você quem me chama coração reclama Sedento de amor Eu desejo e cobiço Sem saber, por onde chegar Nem tudo que passa na mente É sempre um caso a pensar E no reclamo da cama meu desejo se inflama Querendo te amar E nesse espaço me faço, porque sou apenas Escravo do amor Vem me seduzir, vem ( Vem) Me fazer feliz Você é o remédio que me tira do tédio Que eu sempre quis Vem me seduzir, vem ( Vem) Me fazer feliz Você é o remédio que me tira do tédio Que eu sempre quis
Obrigada|Alcione| Sérgio Caetano; Chico Roque| Deus me deu a arte como dom Foi como nascer numa avenida Meu primeiro choro foi no  Tom Se ele foi pra mim tão bom Tenho a fé fortalecida Já cheguei sabendo a profissão Ela é a missão da minha vida Se eu puder tocar um coração Faço a minha obrigação Estou sempre agradecida, Agradecida Abro o coração em oração Rezo o meu terço Grata à vocação,à inspiração Que vem de berço Peço a luz divina que do alto,venha iluminar meu palco como desce o véu. Eu sinto a mão do  Pai, Ele está perto e me segura Manga quando cai no tempo certo está madura Tudo que acontece tem uma razão de ser E agradeço aos céus Obrigada meu  Deus Pelos casos de amor que eu já fiz começar E das brigas sofridas,de dor que eu também ajudei a curarpelo povo que segue comigo O amigo que vai onde estou pra me ver cantar Obrigada meu  Deus Obrigada por tantos valores O talento das mãos de quem sabe tocar Os poetas e compositores, Essa força que eu sinto no ar Minha vida é um show e o roteiro foi  Deus quem traçou Obrigada! Abro o coração em oração...
A Cigana Lhe Enganou|Ary Barroso| Ary Barroso / Gomes Filho - 1937|" A cigana lhe enganou, meu bem, O amor que você quer eu não dou Você não é bonito, nem é rico Nem tem boa conversa!... A cigana lhe enganou! Quanta gente que pensa que é, e não é! Quanta gente banca importância, e não tem! Quanta gente que faz trapalhada, Pensando que a cigana Lhe dá sorte também! Quanta gente que julga que manda no amor! Quanta gente que finge e não tem aflição! Quanta gente que a vida enganou..."" A vida é uma cigana Que não tem coração!""5727 Ficha técnica da faixa Regência:  Simon  Bountman Orquestra  Odeon Voz:  Aurora  Miranda[  Marcha carnavalesca -  Intérprete  Aurora  Miranda com a  Orquestra  Odeon, regência de  Simon  Bountman -  Odeon 11.563 A - gravada em dezembro de 1937 e lançada em janeiro de 1938 ]"
Saudade Dela|Ataulfo Alves|no compositor found| Vai, vai, saudade À casa daquela ingrata Que deixou você prá mim Você vai dizer a ela Que eu agora sou feliz Que você esta no lugar Da mulher que não me quis Vai,vai saudade Vai depressa, por favor Se você gosta de mim Volta e vem morar comigo Naquela casa amarela Só por que saudade eu sei Você é saudade dela Ela foi não sei se volta mais Que falta de consciência Ela não tem pena dos meus ais Ai, ai, meu  Deus, A minha felicidade É findar minha existência Com você saudade
Além do Quintal|Alberto Salgado| Alberto Salgado, Atan Pinho| Tudo quanto quero quando tudo é o tanto Que você pode me dar Tudo quando nunca quero a vida sempre Bate à porta a me cobrar Pague caro pelo ar que você poluiu Isso não foi segredo pois todo mundo viu E sentiu( Refrão Veja tudo que tem Saiba o que te faz mal Plante um mundo também Muito além do quintal
É o Bicho, É o Bicho|Bezerra da Silva| Simões PQD, Adezonilton| É o bicho, é o bicho, é o bicho É o bicho malandragem É o bicho, é o bicho Eu falei que é o bicho x2 No silêncio da noite um tiro ecoou Formando na área o maior reboliço A moçada gritava que o bicho Pegou o mané de boresta na boca do lixo É o bicho, é o bicho, é o bicho É o bicho malandragem É o bicho, é o bicho Eu falei que é o bicho x2 O mané deixou furo com a massa E dizia que era fera no muquiço Ao pisar no lodo não teve firmeza Escorregou na esquina de cara com o bicho É o bicho, é o bicho, é o bicho É o bicho malandragem É o bicho, é o bicho Eu falei que é o bicho x2 Língua grande pra fora da boca De repentemente ela leva sumiço Amanhece furada no meio da rua Pelo chumbo certeiro do ferro do bicho É o bicho, é o bicho, é o bicho É o bicho malandragem É o bicho, é o bicho Eu falei que é o bicho x2 Se você é sangue bom não se preocupe Mas se for dedo de radar vai pagar tudo isso Vai ser condenado sem apelação Pela lei implacável da macaca do bicho É o bicho, é o bicho, é o bicho É o bicho malandragem É o bicho, é o bicho Eu falei que é o bicho x2 No silêncio da noite um tiro ecoou Formando na área o maior reboliço A moçada gritava que o bicho Pegou o mané de boresta na boca do lixo É o bicho, é o bicho, é o bicho É o bicho malandragem É o bicho, é o bicho Eu falei que é o bicho (cuidado com o bicho) É o bicho, é o bicho É o bicho, é o bicho malandragem É o bicho, é o bicho Eu falei que é o bicho (ai boca de alarme O bicho num pega o que pega é a vacilação) É o bicho, é o bicho, é o bicho É o bicho malandragem É o bicho, é o bicho, eu falei que é o bicho(ai safado, o bicho pegou de boresta)
Dessa Vez Eu Me Rendo|Alexandre Pires| Bruno| Dizem que amor não mata, mas judia da gente Não queria te ligar e nem te ver novamente Tá difícil, tá doendo sem você do meu lado Tô morrendo de saudades do seu beijo molhado Se eu ficar aqui parado posso te perder E num lance, num romance pode me esquecer E aí eu vou chorar a vida inteira de arrependimento Já não posso mais, tô ficando com medo É mistério é segredo, o seu modo de agir, não tá nem aí Já não posso mais, ficar me escondendo ,e por orgulho sofrendo Eu preciso te amar, você tem que voltar, dessa vez eu me rendo...
Resumo|Arlindo Cruz| Zé Roberto - Acyr Marques| Não vou me deixar Levar por suas rebeldias Desrespeitar alguém que só te deu amor E tem no coração tanta ingratidão Por mais de uma vez Você me fez, virou mania Ponto final de um compromisso Resumindo, melhor para nós dois o fim Custei a tomar a decisão Porque eu temia a reação Mesmo coberto de razão Sou fraco se o caso é paixão Hei de encontrar um dia alguém Que possa me erguer a mão Pra que eu não sofra mais desilusão
A Chuva Cai|Beth Carvalho| Argemiro/ Casquinha| A chuva cai la fora Voce vai se molhar Ja lhe pedi, nao vai embora Espere o  Tempo melhorar Ate a propria natureza, Está pedindo pra voce ficar Atenda o apelo desse alguem que lhe adora Espere um pouconao va agora Voce ficando vai fazer feliz um coraçaoque esta cansado de sofrer desilusao Espero que a naturezafaça voce mudar de opiniao
Virada|Beth Carvalho|no compositor found| O que adianta eu trabalhar demais,se o que eu ganho é pouco,se cada dia eu vou mais pra trás,nessa vida levando soco,e quem tem muito tá querendo mais,e quem não tem tá no sufoco,vamos lá rapaziada,tá na hora da virada vamos dar o troco. Vamos botar lenha nesse fogo,vamos virar esse jogo que é jogo de carta marcadao nosso time não está no degredo vamos à luta sem medo que é hora do tudo ou nada.
O bom sofredor|Bezerra da Silva|" Tieres Canedo Alves ""Carnaval"""|( Alô gente Tudo bem tudo legal Eu não tenho dinheiro Mas tenho saúde Não vou muito mal) refrão O sofrer da vida E o bom sofredor não reclama Quando posso como bem Quando tá ruim vou de pão com banana Refrão Eu sei que às vezes dói Não ter um chinelo pra calçar Só com a roupa do corpo Eu fico pelado Esperando secar quando tem que lavar Mas eu não desanimo Vou vivendo com perseverança Eu conheço o sofrimento Desde o tempo de criança Refrão É o sofrer é da vida E o bom sofredor não reclama Quando posso como bem Quando tá ruim vou de pão com banana Refrão Eu sei que às vezes dói Não ter um chinelo pra calçar Só com a roupa do corpo Eu fico pelado Esperando secar quando tem que lavar Mas eu não desanimo Vou vivendo com perseverança Eu conheço o sofrimento Desde o tempo de criança Refrão
Castigo|Bom Gosto| Billy Sp / Nassor Alvin| Estou sofrendo sem ela, sofrendo sem ela Estou sofrendo sem ela, estou Ela me disse que me deixa de castigo Se eu der mancada Que está cansada de falar a mesma coisa E eu não ligar E que não vai fazer amor comigo Se eu chegar de madrugada Que pega as minhas coisas e joga na rua Se eu não me acertar Então eu cheguei tarde E tive que pular o portão lá de casa E ainda encontro o lençol e o travesseiro Em cima do sofá Pra piorar o meu estômago anuncia uma larica braba E lá vou eu pilotar o fogão pra preparar o meu jantar Estou sofrendo sem ela, sofrendo sem ela Estou sofrendo sem ela, estou Ela me disse que me deixa de castigo Se eu der mancada Que está cansada de falar a mesma coisa E eu não ligar E que não vai fazer amor comigo Se eu chegar de madrugada Que pega as minhas coisas e joga na rua Se eu não me acertar E como se já não bastasse Ela dispensou a empregada E disse que eu tenho que limpar, lavar, passar E também cozinhar E se eu não fizer o que ela manda Ela é quem vai dar mancada E jura que me abandona antes desse castigo acabar Estou sofrendo sem ela, sofrendo sem ela Estou sofrendo sem ela, estouby  Kju
Casinha E Luar|Art Popular| Leandro Lehart/Julio Borges| Te toco com os olhos da paixão Te vejo no meu beijo, em minha mãos Lavo espinhos com meu carinho Empresto meu colo Aqueço tua alma Sinto teu corpo Tiro sua roupa Feito criança durmo em teus braços Te quero pra cuidar de mim Vem cá dá um sorriso assim A realidade mandou te chamar Casinha pequenina luar Eternamente vamos ficar Contando estrelas Em nosso lugar
Já Falei Com Você|Bezerra da Silva|no compositor found| Já falei com você, o  Zé Só não quero que mexa com a minha mulher Eu falei com você, o  Zé Só não quero que mexa com a minha mulher Eu não mexo com a mulher dos outros, A testemunha é a minha vizinha Eu bagunço qualquer vagabundo Que mexer com a família minha São dez mulheres para cada homem Mas simplesmente eu só vivo pra ela Ela é a minha flor mais bela A cinderela do meu coração A metade de mim mesmo E tambem minha fonte de inspiração
Você Gosta Só de Mim|Benito Di Paula|no compositor found| Ai ai ai Por que me maltrata assim Se eu gosto só de você Você gosta só de mim, ai ai ai Ai ai ai Por que me maltrata assim Se eu gosto só de você Você gosta só de mim Se você quer sair para passear Me leva, que eu quero ir Na palma da sua mão Se você quer sair para namorar Me leva, que eu quero amar Do fundo do coração Ai ai ai Por que me maltrata assim Se eu gosto só de você Você gosta só de mim, ai ai ai Ai ai ai Por que me maltrata assim Se eu gosto só de você Você gosta só de mim Se você pensa que eu vou me perder Se eu só sei te querer Você gosta só de mim Se sorte sua sorte do seu olhar Da sorte de te querer Na sorte de te amar Ai ai ai Por que me maltrata assim Se eu gosto só de você Você gosta só de mim, ai ai ai Ai ai ai Por que me maltrata assim Se eu gosto só de você Você gosta só de mim
Toque de Malícia|Beth Carvalho|no compositor found| G Vem F#m Entregue essa ternura em seu olhar B7  Em Não negue o que eu já fiz por merecer B7 Aqueça o coração que bate por você E7 Pra valer Am  D7  G Senti num toque de malícia o seu amor C7  B7  Em Carinho não se pede por favor Am  E7  Am Por isso eu pude ver C  B7  Em Com que prazer você chegou D7 Mas, vem G  B7  Em Vem... você chegou D7 E agora G  D7 Agora é cantar Em  Am  B7  E7 Deixar o corpo balançar Am  F#m5-/7  Em Não quero ver ninguém de fora F#7  B7  Em Abre a roda, vem brincar G  B7  Em E agora... vem brincar D7 Mas vem G  B7  Em Vem... vem brincar
Mudo Caguete|Bezerra da Silva| Bezerra Da Silva| Baixaram o cacete, baixaram o cacete Quando descobriram que o mudo era o maior caguete Baixaram o cacete, baixaram o cacete Quando descobriram que o mudo era o maior caguete É todo dia no morro tinha muita confusão e um zum zum zum Veja bem, meu amigo, a polícia chegava E sempre grampeava mais um E também não queria saber Se o irmão era bicho ou trabalhador Eu só sei que levaram o coitado assim mesmo Porque foi o mudo que caguetou Baixaram o cacete, baixaram o cacete... É mas o cana maneiro nascido e criado na mesma bocada Já estava ficando mal visto perante o cabeça de área Ele sacou o lance e correu atrás e logo levantou Descobriu que na garganta do mudo Tinha um mini gravador O cana descobriu que na garganta do mudo Existia um mini gravador Baixaram o cacete, baixaram o cacete...
Para Que Mais Felicidade|Ataulfo Alves| Ataulfo Alves E Mario Lago| Para que mais felicidade É muito melhor Terminarmos mesmo assim Nosso romance de amor Para te lembrares sem mágoa de mim E eu poder pensar em ti sem o mais leve rancor Ninguém nesse mundo se amou como nós dois Com tanta alucinação Mas é melhor acabarmos E guardarmos desse amor essa boa impressão Esse amor que hoje é tão original Tarde ou cedo iria tornar-se bem banal Eu fiz as maiores confissões E confesso fui feliz resumindo as tuas ilusões Foram meus os mais lindos sonhos teus Entre nós só houve uma vida e uma vontade Mas esgotamos as frases de amor só falta dizermos adeus Para que mais felicidade ?
Ocultei|Ary Barroso| Ary Barroso - 1954| Ocultei Um sentimento de morte Temendo a sorte Do grande amor que te dei Procurei Não perturbar nossa vida Que era florida Como, a princípio, sonhei Hoje, porem, Abri as portas do destino Mandei andar o amor Um mero clandestino Encerrei, este episódio funesto Agora, detesto Aquele a quem mais amei O meu ardente desejo Que  Deus me perdoe o pecado É que outra mulher ao teu lado Te mate na hora de um beijo C-3298 Ficha técnica da faixa Voz:  Elizete  Cardoso[  Samba canção -  Intérprete  Elizete  Cardoso com  Vero ( Radamés  Gnattali) e seu  Conjunto -  Continental 16.932 A ][  Intérprete  Ary  Barroso (piano) -  Odeon 13.759 B ][ Intérprete  Maria  Isabel com  Orquestra -  R C A  Victor 80.1557 B]
Cabrocha Inteligente|Ary Barroso| Ary Barroso - 1933|" Que cabrocha inteligente Vive chorando Se lastimando Mas leva o dinheiro todo da gente Tem diploma de sabida A cabrocha é novidade Sabe temperar a vida Com astucia e falsidade. Durante o dia Está vestida de chita Mas de noite rasga seda Muito prosa e muito fita.( Oi, cabrochinha boa)65671 Ficha técnica da faixa Grupo da  Guarda  Velha Voz:  Antônio  Moreira da  Silva[  Samba - carnaval -  Victor 33.664 A -  Intérprete  Antônio  Moreira da  Silva com  Grupo da  Guarda  Velha -  Revista "" Segura esta mulher"" ]"
Escríbeme|Alcione|no compositor found| Son tus cartas mi esperanza Mis temores, mi alegría Y aunque sean tonterías Escríbeme, escríbeme Tu silencio me acongoja Me preocupa y predispone Y aunque sea con borrones Escríbeme, escríbeme Me hacen más falta tus cartas Que la misma vida mía Lo mejor morir sería Si algún día me olvidaras Cuando llegan a mis manos Su lectura me conmueve Y aunque sean malas nuevas Escríbeme, escríbeme
Sai do Meu Caminho|Ataulfo Alves|no compositor found| Eu nada te perguntei Não há razão Pra você me responder A carapuça Na cabeça não lhe cabe Meu caso é outro Eu bem sei que você sabe Sai do meu caminho Não estrague os dias meus Deixe-me em paz Pelo amor do santo  Deus Minha morena Que eu falei uma canção É diferente Da sua imaginação
Acontece|Beth Carvalho| Cartola| Esquece nosso amor, vê se esquece Porque tudo no mundo acontece E acontece que já não sei mais amar Vai chorar, vai sofrer E você não merece Mas isso acontece Acontece que meu coração ficou frio E o nosso ninho de amor está vazio Se eu ainda pudesse fingir que te amo Ah!  Se eu pudesse Mas não posso, não devo fazer, isso não acontece
